SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
2459,3,2,Rural,1980,195014.22162584803
2332,3,3,Rural,1978,263954.15406277135
1955,3,1,Rural,2014,240976.55176671062
1459,3,2,Rural,2006,77493.9314389322
1957,3,2,Rural,1992,304197.5798399542
1562,3,3,Rural,2013,89378.55062087673
2899,3,3,Rural,1988,427295.4046033164
1387,3,1,Rural,2002,152828.72029115199
2966,3,2,Rural,1956,277419.0001600792
2981,3,2,Rural,1982,267127.0106286388
2076,3,2,Rural,1966,184051.98271688656
2152,3,1,Rural,1982,306839.62194227794
1040,3,2,Rural,2014,98933.43906530601
1766,3,2,Rural,2018,240727.03972085554
1794,3,1,Rural,1963,114333.69387419586
1484,3,2,Rural,1982,273072.3372618648
2722,3,1,Rural,1985,345978.9788809702
2051,3,2,Rural,1986,205543.45249877236
2496,3,2,Rural,1970,316708.5953854667
2400,3,2,Rural,2006,302581.5244158059
2981,3,3,Rural,1987,296942.7544003423
2479,3,3,Rural,1993,325104.8263530242
2930,3,3,Rural,1972,370459.8290291032
1751,3,1,Rural,2008,270704.1541412828
2955,3,2,Rural,2016,296998.838109315
2986,3,1,Rural,1999,310583.0758590737
1262,3,3,Rural,2016,189650.20106156013
2787,3,3,Rural,1986,308299.31208062085
1001,3,3,Rural,1998,151917.35363762768
2675,3,2,Rural,1985,350608.1323068653
2122,3,2,Rural,1997,283190.3905839381
2704,3,1,Rural,1968,305226.1480002337
2398,3,1,Rural,1962,335992.37884796556
2388,3,3,Rural,1987,274896.26156200573
1437,3,2,Rural,1975,49052.37096077934
2300,3,1,Rural,1979,172216.0833107921
1452,3,1,Rural,2013,86276.33242040729
2852,3,3,Rural,1956,267060.0307693574
2539,3,1,Rural,1956,197039.39492254212
1546,3,3,Rural,1957,251427.1553830112
1180,3,2,Rural,1992,134443.89746195945
1699,3,2,Rural,1963,150304.54943999165
2139,3,3,Rural,2021,277542.7034815458
1565,3,3,Rural,1968,153282.85159103858
1399,3,3,Rural,1987,213210.04341613041
2721,3,3,Rural,1979,365466.45278472325
1569,3,1,Rural,1978,184359.53807411878
1304,3,2,Rural,1989,97808.59675103222
1837,3,3,Rural,1976,129730.19741095706
1004,3,2,Rural,1986,65228.451657181766
2497,3,3,Rural,2019,293908.2936846775
1116,3,1,Rural,1977,148823.04632708835
2119,3,2,Rural,1972,257560.4742361165
1896,3,2,Rural,1964,171955.104831796
2109,3,2,Rural,1964,270288.24876943545
2773,3,3,Rural,1962,225775.6618982253
2312,3,1,Rural,1986,200589.02878504654
2600,3,3,Rural,1969,287191.8105601077
2945,3,1,Rural,1983,272553.0410251459
2443,3,1,Rural,1954,290060.3012191346
2392,3,1,Rural,1985,269266.977581019
1728,3,1,Rural,2001,221433.42593213933
2092,3,1,Rural,2008,226598.7974864433
1568,3,3,Rural,2015,129901.83080778556
1750,3,1,Rural,1988,222984.37232313093
2032,3,3,Rural,1969,254289.73022892696
1713,3,2,Rural,1981,133711.23184425896
1172,3,2,Rural,2011,192190.87089628194
2081,3,1,Rural,1969,266445.0244732576
1928,3,2,Rural,2005,205486.3072228253
1079,3,2,Rural,2015,195945.22713417688
2699,3,3,Rural,1990,240508.83665833162
2549,3,2,Rural,1997,215428.4397021493
2909,3,2,Rural,2008,384570.0092932205
2282,3,1,Rural,2014,295735.1483372617
2371,3,2,Rural,2017,295669.2145331389
1539,3,3,Rural,1992,230483.48782444836
1460,3,2,Rural,1979,128689.36466163806
2028,3,2,Rural,1966,249908.62854710344
1373,3,2,Rural,1967,155358.82516424777
2877,3,1,Rural,1961,282958.5553237845
2952,3,3,Rural,2001,289062.4435412551
1475,3,1,Rural,2011,90949.32580507116
2101,3,1,Rural,2020,176065.22076954978
2848,3,3,Rural,1953,273489.4263233002
2933,3,2,Rural,1954,251312.0636183864
1858,3,3,Rural,1993,169985.32774936478
1541,3,3,Rural,2012,224318.81079377094
2994,3,3,Rural,2000,351976.57482016616
2543,3,2,Rural,2002,240045.8145893422
1106,3,2,Rural,1999,145544.55360945352
2280,3,3,Rural,1995,279972.3849370597
1007,3,3,Rural,2020,104862.80383008986
1725,3,3,Rural,1963,206785.9408313717
1665,3,2,Rural,2021,175376.27163348
1749,3,1,Rural,2014,153530.47303057194
1805,3,3,Rural,1993,158850.12450646033
1484,3,3,Rural,1979,160660.39255138277
2976,3,3,Rural,2016,401985.28770546045
1622,3,1,Rural,1982,162059.8140930315
2959,3,3,Rural,1988,256438.81409021677
1594,3,3,Rural,1974,230984.63033480057
2577,3,2,Rural,1964,354670.2666794227
2541,3,1,Rural,1992,279927.3625480185
1876,3,2,Rural,2015,274445.7924827869
2630,3,2,Rural,2000,237559.91862629275
2160,3,2,Rural,1964,240498.29416751303
1723,3,3,Rural,1978,228232.34116354445
2534,3,3,Rural,1960,363923.8958233242
1901,3,2,Rural,1998,184846.6214197138
2802,3,1,Rural,1955,163978.9313952492
2038,3,3,Rural,1959,205517.80746223903
2646,3,2,Rural,2000,319871.8642397518
1477,3,2,Rural,1981,83129.19404063445
2865,3,2,Rural,1998,282967.21274589025
2284,3,2,Rural,1997,256342.931504016
1094,3,2,Rural,1981,169065.24306125287
2639,3,3,Rural,2018,256415.72928368332
1682,3,2,Rural,2014,78245.42463651147
2156,3,1,Rural,2011,168184.25453714878
1778,3,2,Rural,1956,274278.92758143606
2369,3,3,Rural,2006,303903.4195046444
1370,3,2,Rural,1954,165914.80872808408
1536,3,2,Rural,1958,177136.39284230414
1346,3,3,Rural,1984,125234.80757869492
1709,3,3,Rural,2003,154158.9653308783
1155,3,2,Rural,1988,100023.98607387822
2107,3,3,Rural,2010,148016.55478740402
1946,3,3,Rural,2004,232270.88369807077
2901,3,3,Rural,2001,299697.59264843544
2403,3,3,Rural,1997,279182.2622396814
2201,3,2,Rural,2013,226947.22898594593
2077,3,3,Rural,1975,186754.3670993076
1006,3,2,Rural,2001,85889.10355271914
2308,3,2,Rural,2007,282485.49975381733
2546,3,3,Rural,2014,261128.81389524203
1939,3,2,Rural,2011,313281.34035772143
2529,3,1,Rural,1968,241835.84384900154
1058,3,3,Rural,1953,108762.36392268323
1720,3,3,Rural,1981,235281.53492868913
1609,3,2,Rural,1955,223163.23348213095
1040,3,3,Rural,1950,127238.70866173602
1933,3,3,Rural,1982,230844.62391411548
1033,3,3,Rural,1990,67406.08928108859
2401,3,2,Rural,1984,221099.73732183108
1341,3,3,Rural,2019,116767.84308189538
1730,3,1,Rural,1979,246057.9212669615
1609,3,2,Rural,1997,191980.28871943784
2581,3,1,Rural,2012,266742.20007418253
2315,3,2,Rural,1974,211314.71714442104
1068,3,3,Rural,1970,233427.98906419514
1130,3,2,Rural,2005,185777.56298229983
2521,3,1,Rural,2009,309536.2807755707
1215,3,3,Rural,2007,130684.9090844619
1975,3,3,Rural,2003,194886.71101332156
2560,3,1,Rural,2007,323968.3416162777
1371,3,1,Rural,1998,64250.32706918706
2466,3,2,Rural,2020,187755.12763217965
1619,3,1,Rural,1973,126020.61631690165
1496,3,1,Rural,1988,188533.30926713967
2449,3,3,Rural,2013,400264.69901939266
2804,3,1,Rural,2020,287512.4521658729
2164,3,2,Rural,2010,258715.19897980953
1265,3,2,Rural,1970,80079.98029233473
2828,3,1,Rural,1958,313359.3734310921
1806,3,1,Rural,1962,221109.2239957669
2353,3,3,Rural,1973,229457.4663414028
2540,3,3,Rural,2006,294629.58608013956
1726,3,3,Rural,1970,235141.2711832079
2544,3,3,Rural,1988,233964.84226641915
2596,3,3,Rural,1985,238312.56228386823
2143,3,2,Rural,1989,231207.62859958818
2380,3,1,Rural,2019,242774.58240968938
2284,3,1,Rural,1998,205017.18979344727
1037,3,3,Rural,2000,140769.22847873508
1327,3,1,Rural,1952,94955.56338612626
1972,3,1,Rural,1953,254715.61268018666
1592,3,3,Rural,1961,171773.49327991874
1317,3,1,Rural,1971,145747.65548800337
1091,3,1,Rural,1998,82627.50421574274
1780,3,3,Rural,2007,184921.67528339793
1190,3,3,Rural,2016,220711.41145642335
2690,3,3,Rural,2021,280047.7945161685
1132,3,1,Rural,2000,138887.18832783677
2246,3,3,Rural,1960,242232.45328597788
1585,3,2,Rural,1970,209472.5264700311
1988,3,1,Rural,1991,176139.46017507854
1400,3,2,Rural,2005,198410.8517334654
1703,3,3,Rural,1993,202624.05390389662
1737,3,2,Rural,1988,147990.07510237943
2710,3,3,Rural,1956,230339.60965513517
2463,3,2,Rural,1958,188482.8281131829
1302,3,1,Rural,1999,149776.28266620028
2547,3,3,Rural,1968,308312.15111204784
2809,3,1,Rural,1985,263471.5384458144
1491,3,3,Rural,1971,162266.48915132027
2607,3,3,Rural,1976,246170.17156115622
1526,3,1,Rural,1994,93253.53016062244
2176,3,1,Rural,1963,358045.8136733228
1733,3,1,Rural,1988,172102.17723541846
2701,3,2,Rural,2009,236968.11674585365
1394,3,1,Rural,2007,167619.1184606747
2812,3,2,Rural,1999,354452.20518571726
2714,3,1,Rural,1961,408175.96947928204
2576,3,1,Rural,1978,281565.1922574896
1588,3,1,Rural,1977,153862.8005275998
2189,3,2,Rural,1959,318411.97240616597
1008,3,3,Rural,1985,90514.02811236607
2393,3,1,Rural,1950,296682.25582337787
1006,3,2,Rural,1951,73353.57373955782
1458,3,1,Rural,1966,88268.08076633573
1899,3,3,Rural,1996,291915.37458709755
2547,3,2,Rural,2007,294899.40751013265
1908,3,3,Rural,1991,241716.4514698447
2590,3,1,Rural,1965,288740.9054944655
1287,3,3,Rural,2001,151588.75335067077
2989,3,2,Rural,1981,251120.02102750237
1352,3,3,Rural,1960,201207.81788812936
2640,3,1,Rural,2017,196467.0093683757
1865,3,2,Rural,1951,111966.0843697892
2622,3,1,Rural,1961,280458.16377434257
1837,3,2,Rural,1960,155576.7567840428
2880,3,1,Rural,2007,296695.0318215873
1260,3,2,Rural,1975,115487.44467481329
1619,3,2,Rural,1966,225181.8528463333
1333,3,1,Rural,1966,188370.49002812043
1484,3,3,Rural,2007,239349.29458978557
1216,3,2,Rural,1974,161433.48858668123
2062,3,3,Rural,1993,296675.94805877877
1918,3,1,Rural,1951,159767.2095083141
1374,3,2,Rural,1961,121412.63400595375
2198,3,3,Rural,2010,292994.7145550075
1302,3,1,Rural,2009,146333.16348023657
1360,3,2,Rural,2012,183964.3101365404
2704,3,1,Rural,1972,251440.6501219124
1780,3,2,Rural,2002,276509.9507855957
1584,3,3,Rural,2012,145706.5564279115
1493,3,1,Rural,1954,64574.64720617542
2617,3,1,Rural,2000,324141.8084628446
2678,3,2,Rural,1977,227139.98837939632
1011,3,1,Rural,2017,107334.48856240347
1342,3,2,Rural,1970,186302.78027415648
1363,3,1,Rural,2014,153662.2957016022
1426,3,3,Rural,1989,124142.07695560082
1963,3,1,Rural,1978,332121.0273597828
1493,3,3,Rural,2007,189121.51774603748
1349,3,3,Rural,2007,96544.77517755772
2609,3,3,Rural,1961,324703.22556069924
1158,3,1,Rural,2008,120431.34688835921
1583,3,2,Rural,1955,110732.44322471878
1145,3,3,Rural,1964,140932.69815752402
1914,3,1,Rural,2003,176699.81652478682
1660,3,2,Rural,1992,222597.58991258635
2478,3,2,Rural,1986,135582.30222992072
1920,3,2,Rural,1954,236392.49784965653
1262,3,2,Rural,1974,141315.18216119157
2620,3,2,Rural,1994,252661.2147628688
2190,3,1,Rural,2017,301750.7242067234
2914,3,2,Rural,1997,283707.36019544693
2585,3,3,Rural,1966,348220.5396644741
1341,3,1,Rural,1976,103012.47290838143
1452,3,1,Rural,1962,135392.48871761648
1286,3,3,Rural,1993,177114.99302419467
1669,3,2,Rural,1996,193850.22962433385
2679,3,3,Rural,1993,164170.08733128823
2895,3,2,Rural,1977,369396.5040953293
1455,3,2,Rural,1957,162943.93530814047
1783,3,3,Rural,1998,217462.25820449163
2601,3,2,Rural,1981,373516.5634048485
1448,3,1,Rural,1988,128932.84374939228
2124,3,3,Rural,2014,316920.5006364158
1133,3,1,Rural,1997,80594.28817458858
2698,3,1,Rural,1973,229165.6644404115
2229,3,1,Rural,1999,184609.1197533529
2459,3,1,Rural,2005,268616.66675306903
2196,3,2,Rural,1972,181063.34928636719
2979,3,3,Rural,1961,377346.1408433694
1988,3,3,Rural,1958,227620.75422187807
1777,3,1,Rural,1978,235667.7520089856
1641,3,1,Rural,2013,233876.41338821736
2802,3,2,Rural,1988,304995.2130497571
2486,3,3,Rural,1989,250692.41089357858
2179,3,2,Rural,2007,218869.06940676412
1421,3,3,Rural,2010,183339.95486263605
2713,3,1,Rural,1976,270883.6899999154
1163,3,3,Rural,2011,114009.45548034499
1307,3,1,Rural,1994,96464.69354965125
1509,3,1,Rural,2006,116008.00914671243
2587,3,3,Rural,1956,213439.79390775695
2936,3,3,Rural,2011,289947.4395445732
1042,3,1,Rural,1995,114428.80594087279
1231,3,2,Rural,1990,144638.71812801802
1398,3,1,Rural,1967,147721.20739989716
1991,3,3,Rural,1992,155152.18272886722
1359,3,1,Rural,2009,138899.47483946074
1920,3,2,Rural,1982,229328.4149417638
2992,3,1,Rural,1999,324707.6580344973
2649,3,2,Rural,2000,358652.4307930934
1413,3,1,Rural,1969,170918.920962512
1496,3,1,Rural,2010,231832.97306766687
2256,3,3,Rural,2016,248975.83529079793
1235,3,2,Rural,2012,-19871.251145635964
1859,3,3,Rural,1959,209603.72692467802
1212,3,1,Rural,1975,190867.24869955285
2630,3,1,Rural,1963,255598.23089527315
1277,3,1,Rural,1992,69539.33492966533
1514,3,1,Rural,1978,217093.72635861923
1107,3,2,Rural,2008,189618.70946255862
2390,3,2,Rural,1990,209809.90287848818
2134,3,2,Rural,1977,268257.42950756324
1135,3,2,Rural,2021,157990.0476416538
2506,3,2,Rural,1982,242896.72625220573
1230,3,3,Rural,1989,217984.67681907548
1922,3,1,Rural,1950,141603.3834967311
2089,3,1,Rural,2013,261293.37817770746
2234,3,3,Rural,1955,217044.47267535902
1697,3,3,Rural,1977,210918.27549769415
2646,3,3,Rural,1986,285216.879034905
1272,3,2,Rural,2011,213233.2983600808
2244,3,3,Rural,1971,250040.0838435606
2693,3,2,Rural,1997,260102.31872100596
2099,3,2,Rural,2000,314619.8375969815
1197,3,3,Rural,1956,106614.71210619292
1355,3,1,Rural,1963,140389.07770819633
2625,3,3,Rural,2021,208658.30348730664
2974,3,2,Rural,1967,287394.9931168741
2243,3,2,Rural,1987,285548.9991554693
2836,3,1,Rural,2005,325137.92978698824
2642,3,3,Rural,1994,291488.9833429066
1249,3,2,Rural,2015,174210.34404653052
1874,3,2,Rural,1956,179412.83372843714
2464,3,2,Rural,2015,218931.1134545603
2093,3,2,Rural,2001,235960.8406423269
2689,3,3,Rural,2020,246961.94696603192
1020,3,1,Rural,1999,128991.81655044672
1572,3,1,Rural,1977,175975.46746018642
1176,3,3,Rural,1973,100923.2651446088
2517,3,1,Rural,1981,279240.9837719816
2080,3,2,Rural,1967,288182.2376202394
1531,3,3,Rural,1980,201322.9781335225
1743,3,3,Rural,1965,196865.22499187817
1603,3,2,Rural,1985,303775.7494353473
2404,3,3,Rural,2016,223260.55501414614
2814,3,2,Rural,1958,315312.6608956592
1306,3,3,Rural,1979,231373.90886495978
1267,3,2,Rural,1983,60226.036229769874
1163,3,3,Rural,2011,149155.71282479676
1827,3,2,Rural,1957,265677.69890588673
1365,3,3,Rural,2021,154675.50772025387
2500,3,1,Rural,1969,306038.31930251187
2440,3,3,Rural,2008,229133.683053438
1952,3,1,Rural,2003,285516.157407148
1836,3,3,Rural,1962,333349.09197755455
2882,3,2,Rural,1986,312766.8970449195
2953,3,1,Rural,1978,371859.36420643306
1155,3,2,Rural,2016,141160.28199141147
1453,3,2,Rural,1984,135675.61189243727
1123,3,1,Rural,2019,103542.4575619248
1515,3,2,Rural,2002,189495.86166353148
1441,3,3,Rural,1988,145159.48619881834
2829,3,2,Rural,2020,335231.1489245661
1142,3,3,Rural,1991,189596.58188317152
1550,3,3,Rural,1962,133251.35122205658
2377,3,1,Rural,1973,247604.00422851817
1141,3,1,Rural,1951,147901.2557336425
1839,3,1,Rural,2019,253862.14666471758
2645,3,2,Rural,1973,320580.01806487737
1632,3,3,Rural,1991,102071.54135273541
1935,3,2,Rural,1977,163833.60883454542
1285,3,2,Rural,1971,272519.95658457576
1819,3,1,Rural,2016,218296.25821198258
1088,3,2,Rural,1965,133198.18762543635
2226,3,3,Rural,1976,282832.9168127763
2978,3,3,Rural,1952,317102.3853289411
1040,3,1,Rural,1970,182616.04277229117
2896,3,2,Rural,2018,250188.23095112914
1476,3,1,Rural,2003,76517.84999451613
1880,3,3,Rural,1960,211850.71012901672
2842,3,1,Rural,1984,256342.4340576501
2811,3,3,Rural,1982,266541.4418470338
2607,3,1,Rural,1976,373123.13445606694
1440,3,1,Rural,1957,240599.10047494317
2875,3,2,Rural,2013,320582.21531341947
