SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
2126,4,1,Rural,1969,215355.28361820139
2044,4,3,Rural,1957,184992.321268412
1130,4,3,Rural,1962,143050.20178240185
1385,4,3,Rural,1996,88030.54185271678
1276,4,1,Rural,1965,104747.33458904951
1021,4,3,Rural,2013,110408.67080143407
1856,4,2,Rural,1959,124711.70785494654
1957,4,2,Rural,1994,239299.9944944986
1600,4,2,Rural,2002,256725.98094361837
1897,4,2,Rural,1975,304004.68986597785
2500,4,3,Rural,1984,230749.27633657062
2294,4,1,Rural,1994,353343.63401135267
2485,4,2,Rural,1978,222855.08329639852
2750,4,2,Rural,1994,366548.8223262025
1216,4,3,Rural,2003,107868.93208831895
1230,4,1,Rural,1971,136418.4807787985
1929,4,1,Rural,1976,252779.69087222763
2071,4,3,Rural,1966,185482.06063162314
1804,4,3,Rural,1978,216771.35995628755
1870,4,3,Rural,1958,208692.1497994106
2714,4,3,Rural,1999,290954.49181524914
2059,4,3,Rural,1967,226582.27427106167
1577,4,2,Rural,1979,181472.0115124785
2976,4,2,Rural,2012,352084.04725339817
2354,4,1,Rural,2011,265274.0039736152
2254,4,3,Rural,1966,267724.6993464473
1632,4,3,Rural,2005,211665.6221785599
1317,4,3,Rural,2010,72491.39025921248
2136,4,1,Rural,1995,115459.88197304335
2648,4,2,Rural,2003,388951.7892392383
2589,4,1,Rural,1964,313948.4453118486
2759,4,2,Rural,2021,197521.82717092487
2633,4,2,Rural,1969,284003.76941338705
1197,4,2,Rural,1958,90959.78932620135
2794,4,3,Rural,1966,411678.0284271322
2969,4,3,Rural,1990,384847.049904619
2682,4,2,Rural,2005,257018.55714456557
2943,4,1,Rural,2009,245612.12503446644
1627,4,1,Rural,1981,192616.91072899688
2527,4,2,Rural,1974,299144.4834011201
1400,4,1,Rural,1964,173748.30901295756
2693,4,1,Rural,1959,257512.558546102
2799,4,1,Rural,1998,182649.23827465356
1959,4,3,Rural,1966,244916.4657968306
1815,4,2,Rural,1983,158867.81990114367
2243,4,2,Rural,1959,267664.3312110141
1476,4,2,Rural,1986,217625.4427144939
1301,4,1,Rural,2021,88586.0572983957
2122,4,2,Rural,2000,234164.89095596637
2890,4,2,Rural,1966,335743.30890850566
1681,4,1,Rural,1975,128702.11481480266
2806,4,2,Rural,2000,326637.4753191202
2077,4,3,Rural,1971,241442.143756707
2373,4,2,Rural,1975,313572.8518403207
2682,4,3,Rural,1983,258071.88013024026
2416,4,3,Rural,1971,215724.19497451393
1801,4,1,Rural,1963,144200.25472284656
2624,4,1,Rural,2004,258771.5961898808
1860,4,3,Rural,1996,187289.18440161628
2679,4,2,Rural,1973,271131.6959591951
2308,4,1,Rural,1982,343733.4612602183
1957,4,3,Rural,2004,291978.29503658274
2682,4,2,Rural,2012,240370.01190998117
1441,4,2,Rural,2019,316311.3312099292
2631,4,2,Rural,1993,301656.17346017965
2348,4,2,Rural,1999,223081.9973620505
1791,4,1,Rural,1999,152462.49930589722
1159,4,3,Rural,2017,167817.14670311325
2858,4,1,Rural,1958,304034.385670048
1011,4,3,Rural,1969,175101.11485297672
2325,4,3,Rural,1957,192111.8457088134
2276,4,2,Rural,1981,255596.0404676911
1498,4,2,Rural,1973,288403.4882448866
1726,4,3,Rural,2002,215865.8500989949
2098,4,2,Rural,1959,185514.4834638632
1036,4,3,Rural,2005,57693.11512567874
2042,4,3,Rural,1972,260611.24503988435
1444,4,1,Rural,1974,90595.44336075484
2167,4,3,Rural,1958,266521.92740215774
2062,4,2,Rural,2018,246504.01107683702
2445,4,1,Rural,1998,380654.63496154535
2350,4,3,Rural,1971,308213.8830350051
2881,4,2,Rural,1980,363943.3169361488
2683,4,2,Rural,2021,373582.4579638869
1347,4,2,Rural,1976,154491.00607322797
1684,4,3,Rural,1978,178076.61921988643
2256,4,2,Rural,1992,90256.53134838893
2328,4,2,Rural,1995,256324.23144533037
2166,4,2,Rural,2018,349937.83047997917
1372,4,3,Rural,2009,121797.35786225923
2031,4,1,Rural,1959,232913.77870877416
2671,4,3,Rural,1988,301400.87618549453
2727,4,2,Rural,1950,312734.6629286009
2747,4,2,Rural,1984,373797.1322616373
1751,4,1,Rural,1960,167144.43736194907
1876,4,3,Rural,2005,177401.4627306995
