SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
1343,2,3,Rural,2013,151733.92248999208
2437,2,1,Rural,2004,276162.86180465267
1831,2,2,Rural,2000,190058.8928999779
2154,2,1,Rural,2015,166810.3886512713
1564,2,2,Rural,1983,163053.3920501942
2795,2,1,Rural,1977,305658.56385268376
2064,2,3,Rural,1958,296199.3496255564
1520,2,1,Rural,2003,201334.94160447217
2162,2,3,Rural,1956,220712.46134879728
2597,2,1,Rural,1982,235810.22355681533
2038,2,3,Rural,1950,206119.18171087178
2183,2,1,Rural,1984,194059.37069774355
1556,2,3,Rural,1972,174119.77971258396
1795,2,3,Rural,1985,265399.2764300769
1648,2,1,Rural,2002,168976.49535597963
2842,2,3,Rural,1995,297609.7185248232
2998,2,3,Rural,2019,227602.84522047613
2076,2,3,Rural,2020,225867.2386279585
2707,2,2,Rural,1983,249678.22890096114
1729,2,2,Rural,1982,108636.47522678511
1246,2,3,Rural,1988,130941.48294297825
1402,2,2,Rural,1970,109470.14273140584
2663,2,2,Rural,1953,339772.9527372086
1896,2,1,Rural,1996,196497.06930440952
2014,2,3,Rural,1980,210336.9814886116
2154,2,3,Rural,2018,301758.3277786632
2696,2,1,Rural,2018,256546.84581714938
2443,2,3,Rural,1974,241617.27376623056
1639,2,2,Rural,1989,198112.8732028993
2045,2,1,Rural,1987,265649.0843029641
1037,2,2,Rural,1971,86619.3046619419
1026,2,2,Rural,1958,31998.01567703142
1283,2,3,Rural,1978,172933.77203910236
2535,2,1,Rural,2012,343628.22962201404
2069,2,2,Rural,2021,179619.68105889083
1496,2,3,Rural,1998,123828.10360692852
1252,2,2,Rural,1978,101805.59807931489
1784,2,1,Rural,1958,253462.8412249309
2841,2,3,Rural,1952,276296.33685332374
1920,2,3,Rural,1982,222212.13213889327
2982,2,3,Rural,1974,309839.69209195976
2219,2,3,Rural,2010,255398.7488360053
1046,2,1,Rural,1987,161735.08959988356
2129,2,3,Rural,2016,194238.86404489263
2853,2,3,Rural,1967,317837.8614141733
2931,2,1,Rural,1963,249356.73674787677
1487,2,3,Rural,2016,96385.9182789763
1340,2,3,Rural,2014,226047.232175168
1521,2,2,Rural,1975,202351.35724556248
2123,2,1,Rural,2007,149038.00718782184
1969,2,3,Rural,1996,150367.97259513475
2020,2,3,Rural,1978,190984.00846955905
2892,2,2,Rural,1962,295605.4558659616
1456,2,2,Rural,1978,220667.13737644893
1216,2,1,Rural,1991,151148.9419555298
1872,2,1,Rural,1986,211510.34112149564
2904,2,1,Rural,2001,272997.60155766347
1061,2,1,Rural,1992,71057.43729236326
2492,2,3,Rural,2003,319363.7891736062
2866,2,1,Rural,2017,274487.713034125
2276,2,3,Rural,1969,211264.24766899474
2540,2,2,Rural,1957,273339.0777205339
2155,2,2,Rural,1969,217331.88164170616
1753,2,2,Rural,2009,227730.1345025201
1504,2,1,Rural,1999,206783.25374908888
1933,2,1,Rural,1970,214957.65001214074
1172,2,3,Rural,1965,48426.56952724123
2852,2,3,Rural,1993,237828.08700627234
